collapsed tile_type_id: 2646829784905817334 on position: GridPosition2D { x: 3, y: 12 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 4, y: 12 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 3, y: 13 }
collapsed tile_type_id: 6448332172533119353 on position: GridPosition2D { x: 5, y: 12 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 11 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 13 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 5, y: 14 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 4, y: 14 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 3, y: 14 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 2, y: 14 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 6, y: 14 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 1, y: 14 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 1, y: 13 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 1, y: 15 }
collapsed tile_type_id: 18441512323311480472 on position: GridPosition2D { x: 2, y: 15 }
collapsed tile_type_id: 2646829784905817334 on position: GridPosition2D { x: 0, y: 15 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 0, y: 16 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 1, y: 16 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 1, y: 17 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 2, y: 17 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 1, y: 18 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 3, y: 17 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 3, y: 16 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 4, y: 17 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 3, y: 18 }
collapsed tile_type_id: 11388844671832972472 on position: GridPosition2D { x: 5, y: 17 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 5, y: 18 }
collapsed tile_type_id: 11388844671832972472 on position: GridPosition2D { x: 6, y: 18 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 5, y: 19 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 6, y: 19 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 6, y: 20 }
collapsed tile_type_id: 18441512323311480472 on position: GridPosition2D { x: 7, y: 14 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 1, y: 19 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 1, y: 20 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 1, y: 21 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 2, y: 21 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 1, y: 22 }
collapsed tile_type_id: 18441512323311480472 on position: GridPosition2D { x: 2, y: 22 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 0, y: 22 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 1, y: 23 }
collapsed tile_type_id: 18441512323311480472 on position: GridPosition2D { x: 3, y: 21 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 10 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 9 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 8 }
collapsed tile_type_id: 2646829784905817334 on position: GridPosition2D { x: 5, y: 7 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 6, y: 7 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 6, y: 6 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 7, y: 7 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 8, y: 7 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 8, y: 6 }
collapsed tile_type_id: 431050159513096486 on position: GridPosition2D { x: 9, y: 7 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 9, y: 6 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 8, y: 5 }
collapsed tile_type_id: 11388844671832972472 on position: GridPosition2D { x: 6, y: 5 }
collapsed tile_type_id: 4706942943500762392 on position: GridPosition2D { x: 5, y: 5 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 4 }
collapsed tile_type_id: 2646829784905817334 on position: GridPosition2D { x: 4, y: 5 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 4, y: 6 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 3 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 2 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 5, y: 1 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 5, y: 0 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 6, y: 0 }
collapsed tile_type_id: 6448332172533119353 on position: GridPosition2D { x: 7, y: 0 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 7, y: 1 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 7, y: 2 }
collapsed tile_type_id: 8293862762640881366 on position: GridPosition2D { x: 7, y: 3 }
collapsed tile_type_id: 5635542462567032298 on position: GridPosition2D { x: 7, y: 4 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 8, y: 3 }
collapsed tile_type_id: 5779288959987128508 on position: GridPosition2D { x: 9, y: 3 }
collapsed tile_type_id: 16496312637744467814 on position: GridPosition2D { x: 9, y: 4 }
collapsed tile_type_id: 18085059663485929628 on position: GridPosition2D { x: 10, y: 3 }
collapsed tile_type_id: 18441512323311480472 on position: GridPosition2D { x: 10, y: 4 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 9, y: 2 }
collapsed tile_type_id: 431050159513096486 on position: GridPosition2D { x: 11, y: 3 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 11, y: 2 }
collapsed tile_type_id: 13540451260550003239 on position: GridPosition2D { x: 9, y: 1 }
collapsed tile_type_id: 4371478779105055626 on position: GridPosition2D { x: 9, y: 0 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 2, y: 18 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 0, y: 14 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 5, y: 16 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 3, y: 20 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 3, y: 19 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 6, y: 21 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 0, y: 21 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 0, y: 23 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 2, y: 16 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 4, y: 18 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 4, y: 19 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 9, y: 5 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 3, y: 15 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 8, y: 4 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 6, y: 3 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 8, y: 0 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 4, y: 7 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 5, y: 15 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 6, y: 17 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 10, y: 2 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 4, y: 4 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 0, y: 13 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 11, y: 4 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 7, y: 5 }
collapsed tile_type_id: 3940927582819342789 on position: GridPosition2D { x: 5, y: 6 }
